#nthItr:0
#FPT:334.989522
#vertex:12
,x,y,z,l,t,edge
1,-1.1952474487306612,-0.5883411192077085,-0.8353815886435654,"[11, 12, 17, 18, 19, 21, 32, 33, 34, 36]","[4, 6, 7, 11, 12]",0
5,-1.6198947741528917,-1.0164895477002953,-0.037657650393934206,"[10, 12, 13, 15, 20, 21, 22, 24, 38, 39]","[4, 5, 7, 8, 13]",0
6,-1.7791922659770782,-0.04807361142511124,-0.2294778174780758,"[10, 11, 14, 15, 16, 18, 26, 27, 28, 30]","[4, 5, 6, 9, 10]",0
7,-1.6151562795409793,-0.3514763794031974,0.7091588880705704,"[13, 14, 23, 24, 25, 27, 41, 42, 43, 45]","[5, 8, 9, 14, 15]",0
8,-0.9280623561413496,0.3412823226991523,-0.5815855382167368,"[16, 17, 29, 30, 31, 33, 47, 48, 49, 51]","[6, 10, 11, 16, 17]",0
9,-0.6703136095009603,-1.2256475199895611,-0.271213999527415,"[19, 20, 35, 36, 37, 39, 53, 54, 55, 57]","[7, 12, 13, 18, 19]",0
10,-0.9298315458965386,-1.0792570562301376,0.6833645370145676,"[22, 23, 37, 38, 40, 42, 56, 57, 58, 60]","[8, 13, 14, 19, 20]",0
11,-1.187580292537156,0.4876727864585974,0.37299299832553,"[25, 26, 28, 29, 44, 45, 46, 48, 62, 63]","[9, 10, 15, 16, 21]",0
12,-0.24273765435659045,-0.3864983832865342,-0.6073800100229666,"[31, 32, 34, 35, 50, 51, 52, 54, 65, 66]","[11, 12, 17, 18, 22]",0
13,-0.6626465429178812,-0.14963361090514676,0.9371606791152298,"[40, 41, 43, 44, 59, 60, 61, 63, 68, 69]","[14, 15, 20, 21, 23]",0
14,-0.23799918370899348,0.2785147418304444,0.13943664510854387,"[46, 47, 49, 50, 61, 62, 64, 66, 67, 68]","[16, 17, 21, 22, 23]",0
15,-0.07870171112056651,-0.6899010775020487,0.3312567890294347,"[52, 53, 55, 56, 58, 59, 64, 65, 67, 69]","[18, 19, 20, 22, 23]",0
#line:60
,v0,v1,t,edge
10,5,6,4,15
11,6,1,4,18
12,1,5,4,21
13,5,7,5,24
14,7,6,5,27
15,6,5,5,-10
16,6,8,6,30
17,8,1,6,33
18,1,6,6,-11
19,1,9,7,36
20,9,5,7,39
21,5,1,7,-12
22,5,10,8,-38
23,10,7,8,42
24,7,5,8,-13
25,7,11,9,45
26,11,6,9,28
27,6,7,9,-14
28,6,11,10,-26
29,11,8,10,48
30,8,6,10,-16
31,8,12,11,51
32,12,1,11,34
33,1,8,11,-17
34,1,12,12,-32
35,12,9,12,54
36,9,1,12,-19
37,9,10,13,57
38,10,5,13,22
39,5,9,13,-20
40,10,13,14,60
41,13,7,14,43
42,7,10,14,-23
43,7,13,15,-41
44,13,11,15,63
45,11,7,15,-25
46,11,14,16,-62
47,14,8,16,49
48,8,11,16,-29
49,8,14,17,-47
50,14,12,17,66
51,12,8,17,-31
52,12,15,18,-65
53,15,9,18,55
54,9,12,18,-35
55,9,15,19,-53
56,15,10,19,58
57,10,9,19,-37
58,10,15,20,-56
59,15,13,20,69
60,13,10,20,-40
61,13,14,21,-68
62,14,11,21,46
63,11,13,21,-44
64,14,15,22,-67
65,15,12,22,52
66,12,14,22,-50
67,15,14,23,64
68,14,13,23,61
69,13,15,23,-59
#triangle:20
,v0,v1,v2,l0,l1,l2,edge
4,5,6,1,10,11,12,0
5,5,7,6,13,14,15,0
6,6,8,1,16,17,18,0
7,1,9,5,19,20,21,0
8,5,10,7,22,23,24,0
9,7,11,6,25,26,27,0
10,6,11,8,28,29,30,0
11,8,12,1,31,32,33,0
12,1,12,9,34,35,36,0
13,9,10,5,37,38,39,0
14,10,13,7,40,41,42,0
15,7,13,11,43,44,45,0
16,11,14,8,46,47,48,0
17,8,14,12,49,50,51,0
18,12,15,9,52,53,54,0
19,9,15,10,55,56,57,0
20,10,15,13,58,59,60,0
21,13,14,11,61,62,63,0
22,14,15,12,64,65,66,0
23,15,14,13,67,68,69,0
#nthItr:0
#FPT:1559.872052
#vertex:12
,x,y,z,l,t,edge
